App,Star_Rating,vader_compound,vader_label,migration_source,migration_destination,migration_phrase,migration_reason_category,migration_reason_text,lda_topic_label
ChatGPT,1,-0.25,Negative,ChatGPT,Claude,moving to,General,they stepped up to help create weapons that are autonomous for the Trump administration moving to anthropic and Claude who denied them and gave up the,Platform Comparison
ChatGPT,3,0.8807,Positive,Gemini,ChatGPT,was using,General,"honestly I prefer Gemini to chat gpt u guys need to do some upgrades from Gemini, fr I was using Gemini and it was giving me better result",Platform Comparison
ChatGPT,4,0.8559,Positive,Gemini,ChatGPT,switched from,User Experience,"Switched from Gemini primarily due to output quality ime today I even upgraded to the new ""Go"" mid-premium plan. - I'd like the app to",Platform Comparison
ChatGPT,1,-0.4836,Negative,ChatGPT,Gemini,moving to,User Experience,"on this app and desktop, GONE. INTENTIONALLY. This new update SUCKS. Until they reverse this, I'm moving to Copilot or Gemini. Worse update so far.",Bugs & Performance
ChatGPT,3,0.8407,Positive,ChatGPT,Perplexity,switch to,General,"ture doesn't work! I have a galaxy S25, so I'm pretty sure it's not out of my phones ability. I might have to switch to perplexity or something else.",Bugs & Performance
ChatGPT,1,0.5359,Positive,ChatGPT,Claude,moving to,General,"it gets the vibe, and then another update comes, and you start from scratch again, stop doing that! so yeah, moving to Claude.. for now... or maybe fo",Bugs & Performance
ChatGPT,1,-0.2617,Negative,ChatGPT,Claude,switched to,Pricing,"their ""red lines"" claim unconvincing. I canceled my subscription, deleted the app, and cleared my history. Switched to Claude and Grok. My small stand",Platform Comparison
ChatGPT,1,0.5994,Positive,ChatGPT,Claude,switch to,Privacy,"Was the Best AI out there, the US agreement made me leave and switch to claude. Doesn't even let people delete their accounts, such a dirty move. Boyc",Bugs & Performance
ChatGPT,1,-0.1458,Negative,ChatGPT,Gemini,switching to,Pricing,ctions on the free version. as if they don't get money from me downloading the app. I'm extremely close to switching to Gemini. chatgpt always trie to,Platform Comparison
ChatGPT,1,-0.722,Negative,ChatGPT,Claude,moving to,Pricing,"no memory across chats no response from developers for bug support waste of time and money, dropping this and moving to Claude",Bugs & Performance
ChatGPT,1,-0.6597,Negative,ChatGPT,Gemini,switch to,General,"Or Karo Pentagon Deal... Shittiest model... if u don't know alternative you can switch to Claude And Gemini... if more go for Grok, Kimi, Deepseek, Qw",Platform Comparison
ChatGPT,2,-0.036,Neutral,Gemini,ChatGPT,quit,Pricing,we can upload many images in gemini grok and deepseek. but chatgpt only allows 3 pics in free mood. that is quite upsetting,Accuracy & Quality
